Id,Name,Domain,Vocabulary,include,t1_patological,t2_patological
1633888,AJCC/UICC 7th post therapy pathological T1a Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635699,AJCC/UICC 7th post therapy pathological T1a1 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1634693,AJCC/UICC 7th post therapy pathological T1a2 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1634600,AJCC/UICC 7th post therapy pathological T1b Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635502,AJCC/UICC 7th post therapy pathological T1b1 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1633875,AJCC/UICC 7th post therapy pathological T1b2 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635598,AJCC/UICC 7th post therapy pathological T1b3 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1634595,AJCC/UICC 7th post therapy pathological T1c Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1633289,AJCC/UICC 7th post therapy pathological T1c1 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1633746,AJCC/UICC 7th post therapy pathological T1c2 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1634200,AJCC/UICC 7th post therapy pathological T1c3 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1634288,AJCC/UICC 7th post therapy pathological T1d Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1633420,AJCC/UICC 7th post therapy pathological T1mi Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1633353,AJCC/UICC 7th post therapy pathological T2 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1633787,AJCC/UICC 7th post therapy pathological T2a Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635117,AJCC/UICC 7th post therapy pathological T2a1 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635225,AJCC/UICC 7th post therapy pathological T2a2 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635367,AJCC/UICC 7th post therapy pathological T2b Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635652,AJCC/UICC 7th post therapy pathological T2c Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1633847,AJCC/UICC 7th post therapy pathological T2d Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1633549,AJCC/UICC 7th T1 Category,Measurement,Cancer Modifier,y,,
1633764,AJCC/UICC 7th T1a Category,Measurement,Cancer Modifier,y,,
